,Company Name,Product Name,Quantity,Price
1,Nandini GoodLife,Toned Milk,2x500 ml,43.68
2,Epigamia ,Greek Yogurt - Natural,90 gm,136.80
3,Milky Mist,Paneer - Premium Fresh,1 kg,310.00
4,Amul,Butter - Pasteurized,100 gm,44.62
5,Epigamia ,"Greek Yogurt - Blueberry, All Natural",90 gm,144.00
6,Nandini GoodLife,Skimmed Milk,500 ml,480.00
7,bb Combo,Fresho Organic Fresh Paneer 200G + Fresho Tomato Local 1 kg approx. 13 to 14 nos,Combo,59.40
8,bb Combo,Amul Taaza Toned Milk 1 lt + BB Royal Honey 1 kg,Combo,349.00
9,Amul Taaza,Toned Milk,1 lt,60.00
10,bb Combo,Amul Fresh Cream - 25% Milk Fat Low Fat 250 ml + Amul Malai Paneer 200 gm,Combo,127.00
11,Amul,Malai Paneer,2x200 gm,133.00
12,Epigamia ,"Greek Yogurt - Alphonso Mango, All Natural",90 gm,76.00
13,Milky Mist,Curd - Farm Fresh,500 gm,32.0
14,Epigamia ,"Greek Yogurt - Strawberry, All Natural",90 gm,144.00
15,Epigamia ,"Greek Yogurt - Wild, Raspberry",90 gm,144.00
16,Amul,Masti Buttermilk - Spice,1 lt,55.00
17,Amul,Cheese - Slices,2x200 gm,224.20
18,Nandini GoodLife,Toned Milk,500 ml,25.00
19,Nandini GoodLife,Cow Milk,1 lt,44.0
20,Nestle A+,Toned  Milk,12x1 ltr,800.04
21,Epigamia ,"Greek Yogurt - Natural, Low Fat",400 gm,432.00
22,Amul Gold,Homogenised Standardised Milk,6x1 L,370.08
23,Epigamia ,"Greek Yogurt - Honey Banana, All Natural",90 gm,144.00
24,Fresho Organic,Fresh Paneer,200 gm,49.00
25,Nestle A+,Dahi,2x400 gm,114.00
26,Epigamia ,"Greek Yogurt - Green Apple, All Natural",90 gm,144.00
27,Milky Mist,Natural Set Curd,1 kg,115.00
28,Yakult,Health Drink,325 ml,60.00
29,La Cremella,Natural - Cream Cheese,200 gm,225.00
30,Nestle ,Dairy Whitener - EveryDay,1 kg,413.00
31,Nandini Slim,Slim (Skimmed Milk),1 lt,50.00
32,Fresho Signature,"Cheese - Parmesan Gran Spico, Grated",200 gm,393.00
33,Amul,Processed Cheese - Chiplets (Cubes),200 gm,102.60
34,Amul Taaza,Fresh Toned Milk,200 ml,12.0
35,Nandini,Cooking Butter - Unsalted,200 gm,90.00
36,Nestle A+,Slim Dahi - Low Fat,400 gm,70.00
37,Amul,Pizza Cheese - Mozzarella,200 gm,90.0
38,Europaea,"Cow Milk - Double Toned, 1.5% Fat",1 ltr,117.00
39,Amul,Fresh Cream - 25% Milk Fat Low Fat,250 ml,57.00
40,Amul,Butter - Pasteurized,200 gm,94.00
41,Europaea,Vegan Farms Organic Almond Milk - Unsweetened,1 ltr,390.00
42,Milky Mist,Curd - Farm Fresh,2x400 gm,120.00
43,Amul,Fresh Paneer,200 gm,72.0
44,Fresho Signature,"Cheese - Mozzarella, Grated",200 gm,286.50
45,Fresho Signature,"Cheese - Parmesan Gran Spico, Block",200 gm,393.00
